url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,number_of_bedrooms,livable_surface,number_of_bathrooms,number_of_toilets,type_of_heating,number_of_facades,number_of_floors,garden,garden_orientation,terrace,total_land_surface,buildable_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd38205,montignies-sur-sambre,VBD38205,219 000 €,904 €,No,Normal,,,5,210 m²,2,,Fuel oil,3,,Yes,,Yes,,,,Yes,430 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/6032/mont-sur-marchienne/vbd38221,mont-sur-marchienne,VBD38221,398 000 €,,No,,No,,3,160 m²,1,,Fuel oil,4,,Yes,,Yes,595 m²,,,,472 kWh/m²/year,20251002009718,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd38231,jumet,VBD38231,420 000 €,1 254 €,No,Normal,No,1976,3,201 m²,1,,,4,1,Yes,,Yes,2953 m²,,,Yes,267 kWh/m²/year,,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbd38618,mont-sur-marchienne,VBD38618,198 000 €,,No,,No,,2,92 m²,1,,Fuel oil,3,,Yes,,Yes,331 m²,,,,425 kWh/m²/year,20251008002617,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd38352,marchienne-au-pont,VBD38352,69 000 €,302 €,No,,No,,1,50 m²,1,1,Electricity,2,,No,,No,,,,,,20250926024659,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd38650,gosselies,VBD38650,86 000 €,,No,Normal,No,,2,114 m²,,,Fuel oil,4,,Yes,,No,560 m²,,,,460 kWh/m²/year,20251008009489,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6020/dampremy/vbd38331,dampremy,VBD38331,240 000 €,,No,Normal,,,2,,2,,Gas,2,,,,,,,,,308 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd38782,jumet,VBD38782,79 000 €,,No,To be renovated,No,,3,144 m²,1,,,2,3,Yes,,Yes,60 m²,,,,486 kWh/m²/year,,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/goutroux/vbd39329,goutroux,VBD39329,169 000 €,510 €,No,Normal,No,,2,109 m²,1,2,Gas,3,3,Yes,,Yes,351 m²,,Yes,Yes,249 kWh/m²/year,20251010029140,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbd39079,roux,VBD39079,129 000 €,356 €,No,Normal,No,1900,2,140 m²,1,1,Fuel oil,3,2,Yes,,Yes,459 m²,,Yes,Yes,532 kWh/m²/year,,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd39385,marchienne-au-pont,VBD39385,180 000 €,,No,Normal,No,,3,115 m²,1,2,Fuel oil,3,,Yes,,Yes,,,,,,20170726009978,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd22818,marchienne-au-pont,VBD22818,189 000 €,,No,,No,,3,158 m²,1,,Not specified,3,,No,,Yes,143 m²,,,,296 kWh/m²/year,20250903026573,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vbd39337,charleroi,VBD39337,629 000 €,,No,Excellent,,1930,6,200 m²,2,,Gas,2,2,No,,Yes,70 m²,,Yes,Yes,,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbd40657,couillet,VBD40657,277 000 €,,No,Normal,,1958,4,159 m²,1,2,Gas,3,4,Yes,,Yes,486 m²,,Yes,Yes,259 kWh/m²/year,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd40837,jumet,VBD40837,495 000 €,,No,Normal,No,,3,361 m²,1,5,Fuel oil,4,2,Yes,,Yes,995 m²,,,,320 kWh/m²/year,20220927023677,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd41005,gilly,VBD41005,249 000 €,,No,Normal,No,,4,280 m²,2,2,Not specified,3,3,Yes,,Yes,355 m²,,,,496 kWh/m²/year,20160406008625,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd41237,jumet,VBD41237,149 900 €,528 €,No,To renovate,No,1899,3,153 m²,1,,Gas,3,,Yes,,Yes,275 m²,,Yes,Yes,441 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbd41307,marcinelle,VBD41307,219 000 €,892 €,No,,No,,4,135 m²,1,2,Gas,,,Yes,,No,140 m²,120 m²,,,438 kWh/m²/year,20250927005838,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbd41380,marcinelle,VBD41380,89 000 €,394 €,No,To renovate,No,,2,95 m²,1,1,,3,,Yes,,Yes,272 m²,,Yes,Yes,437 kWh/m²/year,,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd41751,jumet,VBD41751,169 000 €,568 €,No,Normal,No,,5,217 m²,1,1,Not specified,2,5,Yes,,Yes,205 m²,,,Yes,440 kWh/m²/year,2025101035897,Not applicable,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbd41713,roux,VBD41713,279 000 €,600 €,No,Normal,No,,3,100 m²,1,2,Gas,2,,Yes,,No,260 m²,,,,66 kWh/m²/year,20251011001015,"yes, certificate in accordance",,(information not available),(information not available)
