Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building,Url
RBU24062,hoboken,2660,360000.0,house,residence,standard,3.0,153.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu24062
RBU24692,antwerp,2000,2375000.0,house,master-house,standard,6.0,709.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/master-house/for-sale/2000/antwerp/rbu24692
RBU25290,berchem,2600,995000.0,house,residence,standard,3.0,330.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu25290
RBU16429,hoboken,2660,215000.0,house,residence,standard,2.0,111.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu16429
RBU27180,hoboken,2660,375000.0,house,residence,standard,4.0,176.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu27180
RBU28080,merksem,2170,369000.0,house,residence,standard,3.0,180.0,0,0,0,,180.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu28080
RBU27371,antwerp,2050,398000.0,house,residence,standard,3.0,163.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2050/antwerp/rbu27371
RBU28089,merksem,2170,365000.0,house,residence,standard,4.0,172.0,0,0,0,,16.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu28089
RBU27947,hoboken,2660,268000.0,house,residence,standard,2.0,100.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu27947
RBU28098,merksem,2170,399000.0,house,residence,standard,3.0,179.0,0,0,0,,115.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu28098
RBU28288,deurne,2100,359000.0,house,residence,standard,4.0,167.0,0,0,0,,177.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu28288
RBU28636,deurne,2100,295000.0,house,residence,standard,3.0,111.0,0,0,0,,40.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu28636
RBU28107,merksem,2170,354000.0,house,residence,standard,4.0,150.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu28107
RBU29231,antwerp,2060,235000.0,house,residence,standard,3.0,96.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu29231
RBU30790,ekeren,2180,750000.0,house,villa,standard,4.0,385.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/villa/for-sale/2180/ekeren/rbu30790
RBU29981,antwerp,2018,765000.0,house,residence,standard,2.0,205.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu29981
RBU43835,antwerp,2018,635000.0,house,master-house,standard,4.0,,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu43835
RBU44073,wilrijk,2610,850000.0,house,residence,standard,4.0,169.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu44073
