url,municipality_url,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,number_of_bathrooms,number_of_toilets,elevator,floor_of_appartment,number_of_facades,frontage_width,garden,terrace,surface_terrace,ground_depth,gas,running_water,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,cadastral_income,garage,orientation_of_the_front_facade,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_as_build_,build_year,type_of_heating,type_of_glazing,air_conditioning,alarm,access_for_disabled,balcony,the_property_and_or_its_surroundings_are_protected_
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd33113,charleroi,VBD33113,85000,0,Normal,1,,1,58,,1,1,1,5,,,,,,,,,,,,,,694,,,350,,,,,Fuel oil,Double glass,,,,,
https://immovlan.be/en/detail/duplex/for-sale/6041/gosselies/vbd32646,gosselies,VBD32646,229000,0,Excellent,,,3,103,0,1,2,1,,2,,,,12,,,,"yes, certificate in accordance",,,no flooding area,,1087,1,North,98,,21/03/2026,,2016,Gas,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/6032/mont-sur-marchienne/vbd32904,mont-sur-marchienne,VBD32904,179000,0,,0,,2,85,,1,,,1,2,,,,3,,,,,,,,,,1,,,,,,,Electricity,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6060/gilly/vbc81607,gilly,VBC81607,135000,0,,0,,2,78,0,1,1,0,2,,,,,,,,,,,,,,1011,1,,209,20250526022504,,,,Not specified,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vay36525,charleroi,VAY36525,149999,0,Excellent,1,On contract,2,125,0,1,1,1,4,2,,,,5,,1,1,,,,,,1795,1,,179,,09/12/2026,,,Gas,Double glass,,1,1,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vwd14330,charleroi,VWD14330,120000,0,Normal,1,Negotiable,2,90,,1,,1,4,2,,,,5,,1,1,"yes, certificate in accordance",0,,no flooding area,,1336,1,South,169,20250717000992,,,1965,Gas,Double glass,0,0,1,,0
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vba60133,charleroi,VBA60133,300000,0,Normal,0,On contract,6,287,0,,4,1,1,2,,,,,,1,1,"yes, certificate in accordance",,,no flooding area,,,,,250,20210112017071,12/01/2031,,,Gas,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6030/marchienne-au-pont/vwd13724,marchienne-au-pont,VWD13724,130000,0,Normal,0,On contract,2,80,,1,,1,5,4,,,,2,,1,1,"yes, certificate in accordance",0,,no flooding area,,970,1,West,275,20240522018717,22/05/2034,0,1960,Fuel oil,Double glass,1,0,0,,0
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vaz79460,charleroi,VAZ79460,649999,0,Normal,,,8,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbd18284,marcinelle,VBD18284,109000,0,Normal,0,Immediately,2,76,0,,,0,,,,,,3,,,,"yes, certificate in accordance",,,,,818,1,,162,20240422014219,,,1968,Fuel oil,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd14626,charleroi,VBD14626,175000,0,Normal,0,On contract,4,129,0,,2,0,,,,,,4,,,,,,,,,1474,1,,161,20250812023385,,,,Gas,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbb27313,marcinelle,VBB27313,150000,0,,0,,2,99,0,1,1,1,,2,,,,20,,,1,"No, certificate does not comply",,,no flooding area,,1249,1,East,508,20211109017295,09/11/2031,,1978,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6040/jumet/vbb81819,jumet,VBB81819,70000,0,,,Immediately,2,105,0,1,1,0,1,,,,,,,,,,,,,,,,,405,20240918020546,,,,Fuel oil,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6040/jumet/vbb81820,jumet,VBB81820,80000,0,,,Immediately,2,120,0,1,1,0,1,,,,,,,,,,,,,,,,,339,20240918020364,,,,Fuel oil,,,,,,
