url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/7530/gaurain-ramecroix/vbd48438,7530,gaurain-ramecroix,VBD48438,325000,0,0,,3,0,,,,1,2,Fuel oil,0,North-east,3,,,,423,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/2870/puurs/vbd48440,2870,puurs,VBD48440,591000,,,,3,,,1,1,1,2,,,,4,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2870/puurs/vbd48441,2870,puurs,VBD48441,745849,,,,4,,,,,2,2,,,,4,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2530/boechout/vbd48442,2530,boechout,VBD48442,605447,,,,3,,,,,1,2,,,,4,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9230/massemen/vbd48443,9230,massemen,VBD48443,630926,,,,3,,,1,1,1,2,,,,4,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9230/massemen/vbd48444,9230,massemen,VBD48444,642611,,,,3,,,1,1,2,2,,,,4,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbu64844,3700,tongeren,RBU64844,235000,0,0,On contract,4,,,,,2,2,Gas,0,,2,,,,685,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/1731/relegem/rbu64858,1731,relegem,RBU64858,420000,0,0,On contract,3,0,1,,,1,2,,0,North,2,3,,,260,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8870/izegem/rbu64856,8870,izegem,RBU64856,175000,0,,,2,,1,,,1,,Gas,,,2,,,,478,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu64860,9300,aalst,RBU64860,410000,0,,,4,,1,1,,1,,Hot air,,,3,,,,202,,,,
https://immovlan.be/en/detail/residence/for-sale/9308/gijzegem/rbu64859,9308,gijzegem,RBU64859,410000,0,,,4,,1,1,,1,,Hot air,,,3,,,,202,,,,
https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbu64862,2310,rijkevorsel,RBU64862,375000,0,1,,3,0,,1,1,1,1,,,East,3,1,,,218,"No, certificate does not comply",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbd48462,4100,seraing,VBD48462,285000,0,,On contract,4,0,,,,1,2,Gas,0,,2,2,,,161,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/4683/vivegnis/vbd48463,4683,vivegnis,VBD48463,65000,0,,,4,,,1,1,2,,Gas,0,,3,2,,,520,,,,
https://immovlan.be/en/detail/residence/for-sale/1640/sint-genesius-rode/vbd48471,1640,sint-genesius-rode,VBD48471,2500000,,,Immediately,5,,,1,2,5,5,Gas,0,,4,2,,,248,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/mixed-building/for-sale/4000/liege/vbd48472,4000,liege,VBD48472,299000,0,,,,,,,,,,,,,2,,,,398,,,,
https://immovlan.be/en/detail/cottage/for-sale/8620/nieuwpoort/rbu64865,8620,nieuwpoort,RBU64865,,0,1,On contract,20,1,1,,,10,12,Gas,0,,4,3,,,350,,Agricultural areas with beautiful scenery,,
